movie,studio,production_budget,domestic_gross,worldwide_gross,release_month,foreign_gross,net_profit
The Girl on the Train,Strand,45000000.0,75395035.0,174278214.0,October,98883179.0,129278214.0
Hacksaw Ridge,LGF,40000000.0,67209615.0,168904682.0,November,101695067.0,128904682.0
Ride Along,Uni.,25000000.0,134202565.0,153733800.0,January,19531235.0,128733800.0
Limitless,Rela.,27000000.0,79249455.0,155564919.0,March,76315464.0,128564919.0
Exodus: Gods and Kings,Fox,140000000.0,65014513.0,268314513.0,December,203300000.0,128314513.0
Need for Speed,BV,66000000.0,43568507.0,194169619.0,March,150601112.0,128169619.0
Hop,Uni.,63000000.0,108085305.0,188657593.0,April,80572288.0,125657593.0
Mr. Peabody & Sherman,Fox,145000000.0,111506430.0,269806430.0,March,158300000.0,124806430.0
Yogi Bear,WB,80000000.0,100246011.0,204774690.0,December,104528679.0,124774690.0
The Best Exotic Marigold Hotel,FoxS,10000000.0,46383639.0,134639780.0,May,88256141.0,124639780.0
No Strings Attached,Par.,25000000.0,70662220.0,149228078.0,January,78565858.0,124228078.0
The First Purge,Uni.,13000000.0,69488745.0,136617305.0,July,67128560.0,123617305.0
Safe House,Uni.,85000000.0,126181630.0,208542162.0,February,82360532.0,123542162.0
Bridge of Spies,BV,40000000.0,72313754.0,162498338.0,October,90184584.0,122498338.0
